"date","bread_hits","state"
2020-03-25,60,"Virginia"
2020-03-26,53,"Virginia"
2020-03-27,60,"Virginia"
2020-03-28,97,"Virginia"
2020-03-29,84,"Virginia"
2020-03-30,48,"Virginia"
2020-03-31,67,"Virginia"
2020-04-01,69,"Virginia"
2020-04-02,62,"Virginia"
2020-04-03,63,"Virginia"
2020-04-04,77,"Virginia"
2020-04-05,80,"Virginia"
2020-04-06,64,"Virginia"
2020-04-07,62,"Virginia"
2020-04-08,62,"Virginia"
2020-04-09,63,"Virginia"
2020-04-10,85,"Virginia"
2020-04-11,100,"Virginia"
2020-04-12,91,"Virginia"
2020-04-13,61,"Virginia"
2020-04-14,66,"Virginia"
2020-04-15,48,"Virginia"
2020-04-16,60,"Virginia"
2020-04-17,58,"Virginia"
2020-04-18,92,"Virginia"
2020-04-19,74,"Virginia"
2020-04-20,60,"Virginia"
2020-04-21,52,"Virginia"
2020-04-22,64,"Virginia"
2020-04-23,58,"Virginia"
2020-04-24,61,"Virginia"
2020-04-25,75,"Virginia"
2020-04-26,83,"Virginia"
2020-04-27,53,"Virginia"
2020-04-28,54,"Virginia"
2020-04-29,57,"Virginia"
2020-04-30,61,"Virginia"
2020-05-01,60,"Virginia"
2020-05-02,73,"Virginia"
2020-05-03,75,"Virginia"
2020-05-04,52,"Virginia"
2020-05-05,52,"Virginia"
2020-05-06,59,"Virginia"
2020-05-07,54,"Virginia"
2020-05-08,56,"Virginia"
2020-05-09,84,"Virginia"
2020-05-10,72,"Virginia"
2020-05-11,45,"Virginia"
2020-05-12,42,"Virginia"
2020-05-13,49,"Virginia"
2020-05-14,47,"Virginia"
2020-05-15,42,"Virginia"
2020-05-16,65,"Virginia"
2020-02-18,31,"Vermont"
2020-02-19,16,"Vermont"
2020-02-20,29,"Vermont"
2020-02-21,34,"Vermont"
2020-02-22,43,"Vermont"
2020-02-23,28,"Vermont"
2020-02-24,12,"Vermont"
2020-02-25,23,"Vermont"
2020-02-26,41,"Vermont"
2020-02-27,33,"Vermont"
2020-02-28,23,"Vermont"
2020-02-29,15,"Vermont"
2020-03-01,18,"Vermont"
2020-03-02,24,"Vermont"
2020-03-03,14,"Vermont"
2020-03-04,25,"Vermont"
2020-03-05,39,"Vermont"
2020-03-06,24,"Vermont"
2020-03-07,18,"Vermont"
2020-03-08,27,"Vermont"
2020-03-09,22,"Vermont"
2020-03-10,24,"Vermont"
2020-03-11,27,"Vermont"
2020-03-12,21,"Vermont"
2020-03-13,21,"Vermont"
2020-03-14,37,"Vermont"
2020-03-15,38,"Vermont"
2020-03-16,23,"Vermont"
2020-03-17,57,"Vermont"
2020-03-18,44,"Vermont"
2020-03-19,44,"Vermont"
2020-03-20,47,"Vermont"
2020-03-21,79,"Vermont"
2020-03-22,65,"Vermont"
2020-03-23,55,"Vermont"
2020-03-24,84,"Vermont"
2020-03-25,76,"Vermont"
2020-03-26,61,"Vermont"
2020-03-27,39,"Vermont"
2020-03-28,94,"Vermont"
2020-03-29,75,"Vermont"
2020-03-30,58,"Vermont"
2020-03-31,76,"Vermont"
2020-04-01,62,"Vermont"
2020-04-02,43,"Vermont"
2020-04-03,55,"Vermont"
2020-04-04,82,"Vermont"
2020-04-05,100,"Vermont"
2020-04-06,47,"Vermont"
2020-04-07,63,"Vermont"
2020-04-08,63,"Vermont"
2020-04-09,60,"Vermont"
2020-04-10,48,"Vermont"
2020-04-11,89,"Vermont"
2020-04-12,66,"Vermont"
2020-04-13,48,"Vermont"
2020-04-14,63,"Vermont"
2020-04-15,50,"Vermont"
2020-04-16,55,"Vermont"
2020-04-17,53,"Vermont"
2020-04-18,81,"Vermont"
2020-04-19,81,"Vermont"
2020-04-20,52,"Vermont"
2020-04-21,62,"Vermont"
2020-04-22,37,"Vermont"
2020-04-23,33,"Vermont"
2020-04-24,43,"Vermont"
2020-04-25,51,"Vermont"
2020-04-26,55,"Vermont"
2020-04-27,56,"Vermont"
2020-04-28,57,"Vermont"
2020-04-29,38,"Vermont"
2020-04-30,69,"Vermont"
2020-05-01,54,"Vermont"
2020-05-02,73,"Vermont"
2020-05-03,57,"Vermont"
2020-05-04,50,"Vermont"
2020-05-05,52,"Vermont"
2020-05-06,41,"Vermont"
2020-05-07,50,"Vermont"
2020-05-08,30,"Vermont"
2020-05-09,87,"Vermont"
2020-05-10,43,"Vermont"
2020-05-11,38,"Vermont"
2020-05-12,43,"Vermont"
2020-05-13,39,"Vermont"
2020-05-14,45,"Vermont"
2020-05-15,55,"Vermont"
2020-05-16,41,"Vermont"
2020-02-18,22,"Utah"
2020-02-19,27,"Utah"
2020-02-20,28,"Utah"
2020-02-21,23,"Utah"
2020-02-22,32,"Utah"
2020-02-23,33,"Utah"
2020-02-24,20,"Utah"
2020-02-25,18,"Utah"
2020-02-26,30,"Utah"
2020-02-27,12,"Utah"
2020-02-28,15,"Utah"
2020-02-29,38,"Utah"
2020-03-01,45,"Utah"
2020-03-02,22,"Utah"
2020-03-03,35,"Utah"
2020-03-04,31,"Utah"
2020-03-05,24,"Utah"
2020-03-06,23,"Utah"
2020-03-07,16,"Utah"
2020-03-08,32,"Utah"
2020-03-09,22,"Utah"
2020-03-10,16,"Utah"
2020-03-11,24,"Utah"
2020-03-12,24,"Utah"
2020-03-13,35,"Utah"
2020-03-14,55,"Utah"
2020-03-15,65,"Utah"
2020-03-16,41,"Utah"
2020-03-17,57,"Utah"
2020-03-18,45,"Utah"
2020-03-19,52,"Utah"
2020-03-20,44,"Utah"
2020-03-21,73,"Utah"
2020-03-22,81,"Utah"
2020-03-23,44,"Utah"
2020-03-24,52,"Utah"
2020-03-25,55,"Utah"
2020-03-26,47,"Utah"
2020-03-27,51,"Utah"
2020-03-28,70,"Utah"
2020-03-29,100,"Utah"
2020-03-30,52,"Utah"
2020-03-31,51,"Utah"
2020-04-01,54,"Utah"
2020-04-02,52,"Utah"
2020-04-03,52,"Utah"
2020-04-04,63,"Utah"
2020-04-05,87,"Utah"
2020-04-06,61,"Utah"
2020-04-07,49,"Utah"
2020-04-08,46,"Utah"
2020-04-09,55,"Utah"
2020-04-10,46,"Utah"
2020-04-11,72,"Utah"
2020-04-12,83,"Utah"
2020-04-13,41,"Utah"
2020-04-14,30,"Utah"
2020-04-15,54,"Utah"
2020-04-16,45,"Utah"
2020-04-17,53,"Utah"
2020-04-18,36,"Utah"
2020-04-19,91,"Utah"
2020-04-20,38,"Utah"
2020-04-21,35,"Utah"
2020-04-22,50,"Utah"
2020-04-23,28,"Utah"
2020-04-24,43,"Utah"
2020-04-25,43,"Utah"
2020-04-26,71,"Utah"
2020-04-27,34,"Utah"
2020-04-28,38,"Utah"
2020-04-29,32,"Utah"
2020-04-30,30,"Utah"
2020-05-01,38,"Utah"
2020-05-02,52,"Utah"
2020-05-03,76,"Utah"
2020-05-04,42,"Utah"
2020-05-05,33,"Utah"
2020-05-06,33,"Utah"
2020-05-07,33,"Utah"
2020-05-08,37,"Utah"
2020-05-09,38,"Utah"
2020-05-10,53,"Utah"
2020-05-11,28,"Utah"
2020-05-12,34,"Utah"
2020-05-13,43,"Utah"
2020-05-14,30,"Utah"
2020-05-15,36,"Utah"
2020-05-16,38,"Utah"
2020-02-18,36,"Texas"
2020-02-19,33,"Texas"
2020-02-20,36,"Texas"
2020-02-21,32,"Texas"
2020-02-22,38,"Texas"
2020-02-23,44,"Texas"
2020-02-24,38,"Texas"
2020-02-25,35,"Texas"
2020-02-26,38,"Texas"
2020-02-27,38,"Texas"
2020-02-28,36,"Texas"
2020-02-29,39,"Texas"
2020-03-01,43,"Texas"
2020-03-02,34,"Texas"
2020-03-03,34,"Texas"
2020-03-04,33,"Texas"
2020-03-05,34,"Texas"
2020-03-06,32,"Texas"
2020-03-07,37,"Texas"
2020-03-08,40,"Texas"
2020-03-09,38,"Texas"
2020-03-10,36,"Texas"
2020-03-11,33,"Texas"
2020-03-12,33,"Texas"
2020-03-13,34,"Texas"
2020-03-14,53,"Texas"
2020-03-15,59,"Texas"
2020-03-16,42,"Texas"
2020-03-17,57,"Texas"
2020-03-18,54,"Texas"
2020-03-19,58,"Texas"
2020-03-20,71,"Texas"
2020-03-21,86,"Texas"
2020-03-22,96,"Texas"
2020-03-23,65,"Texas"
2020-03-24,56,"Texas"
2020-03-25,61,"Texas"
2020-03-26,54,"Texas"
2020-03-27,58,"Texas"
2020-03-28,74,"Texas"
2020-03-29,87,"Texas"
2020-03-30,59,"Texas"
2020-03-31,59,"Texas"
2020-04-01,59,"Texas"
2020-04-02,59,"Texas"
2020-04-03,65,"Texas"
2020-04-04,90,"Texas"
2020-04-05,100,"Texas"
2020-04-06,59,"Texas"
2020-04-07,64,"Texas"
2020-04-08,68,"Texas"
2020-04-09,67,"Texas"
2020-04-10,72,"Texas"
2020-04-11,93,"Texas"
2020-04-12,90,"Texas"
2020-04-13,56,"Texas"
2020-04-14,62,"Texas"
2020-04-15,62,"Texas"
2020-04-16,53,"Texas"
2020-04-17,55,"Texas"
2020-04-18,74,"Texas"
2020-04-19,80,"Texas"
2020-04-20,56,"Texas"
2020-04-21,55,"Texas"
2020-04-22,56,"Texas"
2020-04-23,49,"Texas"
2020-04-24,54,"Texas"
2020-04-25,67,"Texas"
2020-04-26,71,"Texas"
2020-04-27,56,"Texas"
2020-04-28,56,"Texas"
2020-04-29,52,"Texas"
2020-04-30,52,"Texas"
2020-05-01,51,"Texas"
2020-05-02,60,"Texas"
2020-05-03,63,"Texas"
2020-05-04,48,"Texas"
2020-05-05,47,"Texas"
2020-05-06,47,"Texas"
2020-05-07,52,"Texas"
2020-05-08,47,"Texas"
2020-05-09,63,"Texas"
2020-05-10,58,"Texas"
2020-05-11,44,"Texas"
2020-05-12,52,"Texas"
2020-05-13,50,"Texas"
2020-05-14,46,"Texas"
2020-05-15,47,"Texas"
2020-05-16,57,"Texas"
2020-02-18,44,"Tennessee"
2020-02-19,38,"Tennessee"
2020-02-20,44,"Tennessee"
2020-02-21,42,"Tennessee"
2020-02-22,42,"Tennessee"
2020-02-23,51,"Tennessee"
2020-02-24,35,"Tennessee"
2020-02-25,39,"Tennessee"
2020-02-26,39,"Tennessee"
2020-02-27,30,"Tennessee"
2020-02-28,33,"Tennessee"
2020-02-29,39,"Tennessee"
2020-03-01,41,"Tennessee"
2020-03-02,32,"Tennessee"
2020-03-03,36,"Tennessee"
2020-03-04,36,"Tennessee"
2020-03-05,36,"Tennessee"
2020-03-06,40,"Tennessee"
2020-03-07,40,"Tennessee"
2020-03-08,41,"Tennessee"
2020-03-09,40,"Tennessee"
2020-03-10,38,"Tennessee"
2020-03-11,35,"Tennessee"
2020-03-12,37,"Tennessee"
2020-03-13,38,"Tennessee"
2020-03-14,48,"Tennessee"
2020-03-15,67,"Tennessee"
2020-03-16,53,"Tennessee"
2020-03-17,55,"Tennessee"
2020-03-18,60,"Tennessee"
2020-03-19,62,"Tennessee"
2020-03-20,75,"Tennessee"
2020-03-21,79,"Tennessee"
2020-03-22,100,"Tennessee"
2020-03-23,80,"Tennessee"
2020-03-24,79,"Tennessee"
2020-03-25,66,"Tennessee"
2020-03-26,63,"Tennessee"
2020-03-27,64,"Tennessee"
2020-03-28,81,"Tennessee"
2020-03-29,77,"Tennessee"
2020-03-30,67,"Tennessee"
2020-03-31,72,"Tennessee"
2020-04-01,72,"Tennessee"
2020-04-02,61,"Tennessee"
2020-04-03,63,"Tennessee"
2020-04-04,68,"Tennessee"
2020-04-05,78,"Tennessee"
2020-04-06,64,"Tennessee"
2020-04-07,66,"Tennessee"
2020-04-08,71,"Tennessee"
2020-04-09,68,"Tennessee"
2020-04-10,85,"Tennessee"
2020-04-11,85,"Tennessee"
2020-04-12,91,"Tennessee"
