"date","coronavirus_hits","state"
2020-05-03,17,"Washington"
2020-05-04,18,"Washington"
2020-05-05,17,"Washington"
2020-05-06,16,"Washington"
2020-05-07,16,"Washington"
2020-05-08,14,"Washington"
2020-05-09,16,"Washington"
2020-05-10,15,"Washington"
2020-05-11,16,"Washington"
2020-05-12,16,"Washington"
2020-05-13,15,"Washington"
2020-05-14,15,"Washington"
2020-05-15,15,"Washington"
2020-05-16,15,"Washington"
2020-02-18,3,"Virginia"
2020-02-19,3,"Virginia"
2020-02-20,3,"Virginia"
2020-02-21,3,"Virginia"
2020-02-22,4,"Virginia"
2020-02-23,4,"Virginia"
2020-02-24,7,"Virginia"
2020-02-25,10,"Virginia"
2020-02-26,16,"Virginia"
2020-02-27,19,"Virginia"
2020-02-28,18,"Virginia"
2020-02-29,18,"Virginia"
2020-03-01,16,"Virginia"
2020-03-02,22,"Virginia"
2020-03-03,23,"Virginia"
2020-03-04,22,"Virginia"
2020-03-05,25,"Virginia"
2020-03-06,30,"Virginia"
2020-03-07,31,"Virginia"
2020-03-08,42,"Virginia"
2020-03-09,41,"Virginia"
2020-03-10,49,"Virginia"
2020-03-11,64,"Virginia"
2020-03-12,100,"Virginia"
2020-03-13,90,"Virginia"
2020-03-14,80,"Virginia"
2020-03-15,100,"Virginia"
2020-03-16,95,"Virginia"
2020-03-17,87,"Virginia"
2020-03-18,80,"Virginia"
2020-03-19,77,"Virginia"
2020-03-20,70,"Virginia"
2020-03-21,72,"Virginia"
2020-03-22,76,"Virginia"
2020-03-23,73,"Virginia"
2020-03-24,62,"Virginia"
2020-03-25,59,"Virginia"
2020-03-26,61,"Virginia"
2020-03-27,59,"Virginia"
2020-03-28,57,"Virginia"
2020-03-29,56,"Virginia"
2020-03-30,57,"Virginia"
2020-03-31,49,"Virginia"
2020-04-01,48,"Virginia"
2020-04-02,45,"Virginia"
2020-04-03,56,"Virginia"
2020-04-04,60,"Virginia"
2020-04-05,60,"Virginia"
2020-04-06,57,"Virginia"
2020-04-07,53,"Virginia"
2020-04-08,51,"Virginia"
2020-04-09,49,"Virginia"
2020-04-10,46,"Virginia"
2020-04-11,35,"Virginia"
2020-04-12,30,"Virginia"
2020-04-13,40,"Virginia"
2020-04-14,43,"Virginia"
2020-04-15,40,"Virginia"
2020-04-16,41,"Virginia"
2020-04-17,40,"Virginia"
2020-04-18,42,"Virginia"
2020-04-19,31,"Virginia"
2020-04-20,34,"Virginia"
2020-04-21,37,"Virginia"
2020-04-22,27,"Virginia"
2020-04-23,33,"Virginia"
2020-04-24,34,"Virginia"
2020-04-25,24,"Virginia"
2020-04-26,20,"Virginia"
2020-04-27,21,"Virginia"
2020-04-28,20,"Virginia"
2020-04-29,19,"Virginia"
2020-04-30,18,"Virginia"
2020-05-01,18,"Virginia"
2020-05-02,17,"Virginia"
2020-05-03,18,"Virginia"
2020-05-04,20,"Virginia"
2020-05-05,17,"Virginia"
2020-05-06,18,"Virginia"
2020-05-07,16,"Virginia"
2020-05-08,15,"Virginia"
2020-05-09,15,"Virginia"
2020-05-10,15,"Virginia"
2020-05-11,17,"Virginia"
2020-05-12,15,"Virginia"
2020-05-13,15,"Virginia"
2020-05-14,15,"Virginia"
2020-05-15,15,"Virginia"
2020-05-16,14,"Virginia"
2020-02-18,4,"Vermont"
2020-02-19,2,"Vermont"
2020-02-20,2,"Vermont"
2020-02-21,3,"Vermont"
2020-02-22,5,"Vermont"
2020-02-23,3,"Vermont"
2020-02-24,6,"Vermont"
2020-02-25,11,"Vermont"
2020-02-26,12,"Vermont"
2020-02-27,14,"Vermont"
2020-02-28,17,"Vermont"
2020-02-29,17,"Vermont"
2020-03-01,18,"Vermont"
2020-03-02,27,"Vermont"
2020-03-03,22,"Vermont"
2020-03-04,23,"Vermont"
2020-03-05,27,"Vermont"
2020-03-06,24,"Vermont"
2020-03-07,31,"Vermont"
2020-03-08,50,"Vermont"
2020-03-09,45,"Vermont"
2020-03-10,45,"Vermont"
2020-03-11,54,"Vermont"
2020-03-12,88,"Vermont"
2020-03-13,76,"Vermont"
2020-03-14,77,"Vermont"
2020-03-15,100,"Vermont"
2020-03-16,88,"Vermont"
2020-03-17,85,"Vermont"
2020-03-18,70,"Vermont"
2020-03-19,65,"Vermont"
2020-03-20,65,"Vermont"
2020-03-21,70,"Vermont"
2020-03-22,70,"Vermont"
2020-03-23,58,"Vermont"
2020-03-24,58,"Vermont"
2020-03-25,56,"Vermont"
2020-03-26,53,"Vermont"
2020-03-27,52,"Vermont"
2020-03-28,53,"Vermont"
2020-03-29,43,"Vermont"
2020-03-30,42,"Vermont"
2020-03-31,43,"Vermont"
2020-04-01,39,"Vermont"
2020-04-02,37,"Vermont"
2020-04-03,43,"Vermont"
2020-04-04,51,"Vermont"
2020-04-05,51,"Vermont"
2020-04-06,52,"Vermont"
2020-04-07,47,"Vermont"
2020-04-08,39,"Vermont"
2020-04-09,38,"Vermont"
2020-04-10,39,"Vermont"
2020-04-11,30,"Vermont"
2020-04-12,26,"Vermont"
2020-04-13,33,"Vermont"
2020-04-14,35,"Vermont"
2020-04-15,33,"Vermont"
2020-04-16,31,"Vermont"
2020-04-17,30,"Vermont"
2020-04-18,36,"Vermont"
2020-04-19,24,"Vermont"
2020-04-20,30,"Vermont"
2020-04-21,29,"Vermont"
2020-04-22,22,"Vermont"
2020-04-23,26,"Vermont"
2020-04-24,34,"Vermont"
2020-04-25,22,"Vermont"
2020-04-26,15,"Vermont"
2020-04-27,16,"Vermont"
2020-04-28,14,"Vermont"
2020-04-29,14,"Vermont"
2020-04-30,16,"Vermont"
2020-05-01,20,"Vermont"
2020-05-02,18,"Vermont"
2020-05-03,17,"Vermont"
2020-05-04,16,"Vermont"
2020-05-05,18,"Vermont"
2020-05-06,15,"Vermont"
2020-05-07,13,"Vermont"
2020-05-08,15,"Vermont"
2020-05-09,14,"Vermont"
2020-05-10,17,"Vermont"
2020-05-11,14,"Vermont"
2020-05-12,11,"Vermont"
2020-05-13,16,"Vermont"
2020-05-14,15,"Vermont"
2020-05-15,14,"Vermont"
2020-05-16,15,"Vermont"
2020-02-18,4,"Utah"
2020-02-19,3,"Utah"
2020-02-20,3,"Utah"
2020-02-21,3,"Utah"
2020-02-22,4,"Utah"
